358373,0.0001556
373527,0.00014486
387199,0.00014816
404860,0.00017626
392748,0.00015425
454844,0.00016187
594453,0.0002212
463351,0.00021871
555749,0.00019946
543490,0.00019368
566810,0.00017566
623697,0.00017407
662227,0.00019356
732706,0.00020016
715370,0.00022996
743867,0.00025096
769594,0.00022846
820848,0.00027225
785600,0.00027909
777843,0.00030502
749121,0.00027106
827073,0.00031194
863884,0.00032692
873975,0.00035117
864976,0.00040644
949126,0.00054382
955451,0.00080043
957912,0.00076301
